id,NumeroAdquisicion,DescripcionAdquisicion,NombreUnidadCompra,NombreDependencia,Estado,nnc,IdEmpresa,modalidad,MontoRef,fecha,link
10,2020-0-12-0-08-EM-031571,REQ: 20-222316. INSUMOS DE MEDICAMENTOS.,MINISTERIO DE SALUD/Compras (ministerio de salud),MINISTERIO DE SALUD,Autorizado,0,NTwwMTYzNFs2NjM9MFs2MTQyMjI9,Adjudicacion Global,0.0,14-01-2021 08:51 AM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-0-08-EM-031571&esap=1&nnc=0&it=1
11,2020-0-12-0-08-EM-031574,REQ: 20-222316. INSUMOS DE MEDICAMENTOS,MINISTERIO DE SALUD/Compras (ministerio de salud),MINISTERIO DE SALUD,Autorizado,0,NTwwMTYzNFs2NjM9MFs2MTQyMjww,Adjudicacion Global,0.0,14-01-2021 08:50 AM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-0-08-EM-031574&esap=1&nnc=0&it=1
12,2020-0-12-0-08-EM-031573,REQ.20-221508 LISANTE. BOTELLA 500 PR/0.5L. VENCIMIENTO 4 MESES. FT 61690.,MINISTERIO DE SALUD/Compras (ministerio de salud),MINISTERIO DE SALUD,Autorizado,0,NTwwMTYzNFs2NjM9MFs2MTQyMjM8,Adjudicacion Global,0.0,14-01-2021 08:49 AM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-0-08-EM-031573&esap=1&nnc=0&it=1
13,2020-0-12-0-08-EM-029308,REQ. 20-222533 KIT DE PRUEBAS RÁPIDAS PARA LA DETECCIÓN CUALITATIVA DE ANTICUERPOS IGM/IGG ESPECIFICOS DE CORONAVIRUS COVID-19. UNIDAD.  FT 107842,MINISTERIO DE SALUD/Compras (ministerio de salud),MINISTERIO DE SALUD,Autorizado,0,NTwwMTYzNFs2NjM9MFs2MDc0NjY3,Adjudicacion Global,0.0,14-01-2021 08:48 AM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-0-08-EM-029308&esap=1&nnc=0&it=1
14,2020-0-12-0-08-EM-031583,"REQ: 20-221346. ESOMEPRAZOL 40 MG, POLVO LIOFILIZADO, VIAL, I.V. F.T. 12258.",MINISTERIO DE SALUD/Compras (ministerio de salud),MINISTERIO DE SALUD,Autorizado,0,NTwwMTYzNFs2NjM9MFs2MTQyPDIw,Adjudicacion Global,0.0,14-01-2021 08:47 AM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-0-08-EM-031583&esap=1&nnc=0&it=1
15,2021-0-12-0-08-EM-031919,"REQ. 20-222863, TRAJE DE PROTECCIÓN PERSONAL, TIPO OVEROL.",MINISTERIO DE SALUD/Compras (ministerio de salud),MINISTERIO DE SALUD,Autorizado,0,NTwwMTYzNFs2NjM9MFs2MTU2NjY0,Adjudicacion Global,0.0,14-01-2021 08:40 AM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2021-0-12-0-08-EM-031919&esap=1&nnc=0&it=1
16,2021-0-12-0-08-EM-031920,REQ:20-222865.TRAJE DE PROTECCIÓN TIPO OVEROL CONTRA SUSTANCIAS. FT 104726,MINISTERIO DE SALUD/Compras (ministerio de salud),MINISTERIO DE SALUD,Autorizado,0,NTwwMTYzNFs2NjM9MFs2MTU2NjYz,Adjudicacion Global,0.0,14-01-2021 08:39 AM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2021-0-12-0-08-EM-031920&esap=1&nnc=0&it=1
17,2020-0-12-0-08-EM-031355,REQ. 20-223836 PRUEBA PARA LA DETECCIÓN DE ANTÍGENO SARS FIA. POR PRUEBA. VENCIMIENTO 12 MESES. F.T. 107936,MINISTERIO DE SALUD/Compras (ministerio de salud),MINISTERIO DE SALUD,Autorizado,0,NTwwMTYzNFs2NjM9MFs2MTQ1MDU1,Adjudicacion Global,0.0,14-01-2021 08:38 AM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-0-08-EM-031355&esap=1&nnc=0&it=1
18,2020-0-12-0-08-EM-031342,REQ. 20-223826 PRUEBA PARA LA DETECCIÓN DE ANTÍGENO SARS FIA. POR PRUEBA. VENCIMIENTO 12 MESES. F.T. 107936,MINISTERIO DE SALUD/Compras (ministerio de salud),MINISTERIO DE SALUD,Autorizado,0,NTwwMTYzNFs2NjM9MFs2MTQ1Nz08,Adjudicacion Global,0.0,14-01-2021 08:38 AM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-0-08-EM-031342&esap=1&nnc=0&it=1
19,2021-0-07-0-08-EM-039730,ADQUISICIÓN DE MASCARILLA PARA USO DEL PERSONAL DEBIDO A LA ALARMA MUNDIAL Y LAS REPERCUSIONES DEL VIRUS COVID 19,MINISTERIO DE EDUCACION/DEPARTAMENTO DE COMPRAS SEDE,SEDE,Autorizado,0,NTwwMTYyMls2NTc9NVs2MTU1Mzcw,Adjudicacion Global,0.0,13-01-2021 01:59 PM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2021-0-07-0-08-EM-039730&esap=1&nnc=0&it=1
20,2021-0-12-04-04-EM-005743,14000 RECETARIOS,MINISTERIO DE SALUD/DEPARTAMENTO DE COMPRAS(REG. SALUD DE CHIRIQUI),REGIONAL DE SALUD DE CHIRIQUI,Autorizado,0,NTwwMTYzNFs2NjM9PVs2MTU1MTM0,Adjudicacion Global,0.0,13-01-2021 10:22 AM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2021-0-12-04-04-EM-005743&esap=1&nnc=0&it=1
21,2020-0-12-04-04-EM-005086,BATAS DESECHABLES DE USO GENERAL NO ESTERIL TIPO 3,MINISTERIO DE SALUD/DEPARTAMENTO DE COMPRAS(REG. SALUD DE CHIRIQUI),REGIONAL DE SALUD DE CHIRIQUI,Autorizado,0,NTwwMTYzNFs2NjM9PVs2MDQ2NT0y,Adjudicacion Global,0.0,11-01-2021 03:51 PM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-04-04-EM-005086&esap=1&nnc=0&it=1
22,2020-0-12-04-04-EM-005038,"MASCARILLA QUIRÚRGICA TRICAPA, DESECHABLE, RECTANGULAR Y RESISTENTE, CON MATERIAL LIBRE DE PELUSA, CON ELÁSTICO ´PARA LAS OREJAS. FICHA TÉCNICA No 33589",MINISTERIO DE SALUD/DEPARTAMENTO DE COMPRAS(REG. SALUD DE CHIRIQUI),REGIONAL DE SALUD DE CHIRIQUI,Autorizado,0,NTwwMTYzNFs2NjM9PVs2Nz02PDI3,Adjudicacion Global,0.0,11-01-2021 03:51 PM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-04-04-EM-005038&esap=1&nnc=0&it=1
23,2020-0-12-14-08-EM-019899,"REQ. 20-1982**
R1: REGULADOR DE OXIGENO DE 200 PIES CUBICO CGA-540 **R2: REGULADOR  DE OXIGENO VÁLVULA DE FLUJO- PRESIÓN CGA-540",MINISTERIO DE SALUD/Compras (H. SANTO TOMÁS),HOSPITAL SANTO TOMÁS,Autorizado,0,NTwwMTYzNFs2NjwyMVs2MTU0NTw1,Adjudicacion Global,0.0,11-01-2021 03:37 PM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-14-08-EM-019899&esap=1&nnc=0&it=1
24,2021-0-12-04-04-EM-005742,16000  agua embotellada,MINISTERIO DE SALUD/DEPARTAMENTO DE COMPRAS(REG. SALUD DE CHIRIQUI),REGIONAL DE SALUD DE CHIRIQUI,Autorizado,0,NTwwMTYzNFs2NjM9PVs2MTU1MTIx,Adjudicacion Global,0.0,11-01-2021 03:30 PM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2021-0-12-04-04-EM-005742&esap=1&nnc=0&it=1
25,2021-0-12-04-04-EM-005741,AGUA EMBOTELLADA,MINISTERIO DE SALUD/DEPARTAMENTO DE COMPRAS(REG. SALUD DE CHIRIQUI),REGIONAL DE SALUD DE CHIRIQUI,Autorizado,0,NTwwMTYzNFs2NjM9PVs2MTU1MTQ8,Adjudicacion Global,0.0,11-01-2021 03:03 PM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2021-0-12-04-04-EM-005741&esap=1&nnc=0&it=1
26,2021-0-12-14-08-EM-019964,"21-0981***FENTANILO 0.05 mg/ml, solución ampolla o vial, 2ml, I.M., I.V. FT 10115",MINISTERIO DE SALUD/Compras (H. SANTO TOMÁS),HOSPITAL SANTO TOMÁS,Autorizado,0,NTwwMTYzNFs2NjwyMVs2MTU0MTY1,Adjudicacion Global,0.0,11-01-2021 02:10 PM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2021-0-12-14-08-EM-019964&esap=1&nnc=0&it=1
27,2020-0-12-04-04-EM-005073,50 TERMOMETROS DIGITAL SIN CONTACTO,MINISTERIO DE SALUD/DEPARTAMENTO DE COMPRAS(REG. SALUD DE CHIRIQUI),REGIONAL DE SALUD DE CHIRIQUI,Autorizado,0,NTwwMTYzNFs2NjM9PVs2MDQ0MTA0,Adjudicacion Global,0.0,11-01-2021 12:55 PM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-04-04-EM-005073&esap=1&nnc=0&it=1
28,2020-0-12-04-04-EM-005096,"BATAS DESECHABLES DE USO GENERAL, TIPO 3, CON AJUSTE EN LA PARTE POSTERIOR",MINISTERIO DE SALUD/DEPARTAMENTO DE COMPRAS(REG. SALUD DE CHIRIQUI),REGIONAL DE SALUD DE CHIRIQUI,Autorizado,0,NTwwMTYzNFs2NjM9PVs2MDQxNTIy,Adjudicacion Global,0.0,11-01-2021 12:48 PM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-04-04-EM-005096&esap=1&nnc=0&it=1
29,2020-0-12-04-04-EM-005089,4740  RESPIRADORES CONTRA PARTICULAS KN 95,MINISTERIO DE SALUD/DEPARTAMENTO DE COMPRAS(REG. SALUD DE CHIRIQUI),REGIONAL DE SALUD DE CHIRIQUI,Autorizado,0,NTwwMTYzNFs2NjM9PVs2MDQ2PDY3,Adjudicacion Global,0.0,11-01-2021 11:38 AM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-04-04-EM-005089&esap=1&nnc=0&it=1
30,2020-0-12-04-04-EM-005091,REACTIVO PARA DETECCION DE ANTIGENO DE CORONAVIRUS FICHA TECNICA 107834,MINISTERIO DE SALUD/DEPARTAMENTO DE COMPRAS(REG. SALUD DE CHIRIQUI),REGIONAL DE SALUD DE CHIRIQUI,Autorizado,0,NTwwMTYzNFs2NjM9PVs2MDQ3MTE2,Adjudicacion Global,0.0,11-01-2021 11:37 AM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-04-04-EM-005091&esap=1&nnc=0&it=1
31,2020-0-12-04-04-EM-005109,OVEROLES DESECHABLES COMPLETOS,MINISTERIO DE SALUD/DEPARTAMENTO DE COMPRAS(REG. SALUD DE CHIRIQUI),REGIONAL DE SALUD DE CHIRIQUI,Autorizado,0,NTwwMTYzNFs2NjM9PVs2MDQ9PTYy,Adjudicacion Global,0.0,11-01-2021 11:30 AM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-04-04-EM-005109&esap=1&nnc=0&it=1
32,2020-0-12-04-04-EM-005114,"ALIMENTACIÓN PARA PACIENTES Y PERSONAL DEL HOTEL HOSPITAL, DAVID CHIRIQUÍ, DESAYUNO, ALMUERZO Y CENA",MINISTERIO DE SALUD/DEPARTAMENTO DE COMPRAS(REG. SALUD DE CHIRIQUI),REGIONAL DE SALUD DE CHIRIQUI,Autorizado,0,NTwwMTYzNFs2NjM9PVs2MDU0PD0w,Adjudicacion Global,0.0,11-01-2021 11:22 AM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-04-04-EM-005114&esap=1&nnc=0&it=1
33,2020-0-12-04-04-EM-005121,JUEGO DE REACTIVO PARA EXTRACCION DE RNA VIRAL,MINISTERIO DE SALUD/DEPARTAMENTO DE COMPRAS(REG. SALUD DE CHIRIQUI),REGIONAL DE SALUD DE CHIRIQUI,Autorizado,0,NTwwMTYzNFs2NjM9PVs2MDUwNj02,Adjudicacion Global,0.0,11-01-2021 11:21 AM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-04-04-EM-005121&esap=1&nnc=0&it=1
34,2020-0-12-04-04-EM-005070,MASCARILLAS QUIRURGICA TRICAPA,MINISTERIO DE SALUD/DEPARTAMENTO DE COMPRAS(REG. SALUD DE CHIRIQUI),REGIONAL DE SALUD DE CHIRIQUI,Autorizado,0,NTwwMTYzNFs2NjM9PVs2MDQ0NTQ9,Adjudicacion Global,0.0,11-01-2021 11:20 AM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-04-04-EM-005070&esap=1&nnc=0&it=1
35,2020-0-12-04-04-EM-005124,PANTALLA FACIAL CON PROTECCION,MINISTERIO DE SALUD/DEPARTAMENTO DE COMPRAS(REG. SALUD DE CHIRIQUI),REGIONAL DE SALUD DE CHIRIQUI,Autorizado,0,NTwwMTYzNFs2NjM9PVs2MDUwMzAy,Adjudicacion Global,0.0,11-01-2021 11:19 AM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-04-04-EM-005124&esap=1&nnc=0&it=1
36,2020-0-12-04-04-EM-005111,BATAS DESECHABLES,MINISTERIO DE SALUD/DEPARTAMENTO DE COMPRAS(REG. SALUD DE CHIRIQUI),REGIONAL DE SALUD DE CHIRIQUI,Autorizado,0,NTwwMTYzNFs2NjM9PVs2MDU0Njc9,Adjudicacion Global,0.0,11-01-2021 11:19 AM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-04-04-EM-005111&esap=1&nnc=0&it=1
37,2020-0-12-04-04-EM-005130,GORRO QUIRURGICO DE MUJER,MINISTERIO DE SALUD/DEPARTAMENTO DE COMPRAS(REG. SALUD DE CHIRIQUI),REGIONAL DE SALUD DE CHIRIQUI,Autorizado,0,NTwwMTYzNFs2NjM9PVs2MDUxPTc9,Adjudicacion Global,0.0,11-01-2021 11:18 AM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-04-04-EM-005130&esap=1&nnc=0&it=1
38,2020-0-12-04-04-EM-005123,GUANTES DE LATEX     F.T  100714,MINISTERIO DE SALUD/DEPARTAMENTO DE COMPRAS(REG. SALUD DE CHIRIQUI),REGIONAL DE SALUD DE CHIRIQUI,Autorizado,0,NTwwMTYzNFs2NjM9PVs2MDUwNz08,Adjudicacion Global,0.0,11-01-2021 11:18 AM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-04-04-EM-005123&esap=1&nnc=0&it=1
39,2020-0-12-04-04-EM-005098,BATAD DESECHABLES FICHA TECNICA 102752,MINISTERIO DE SALUD/DEPARTAMENTO DE COMPRAS(REG. SALUD DE CHIRIQUI),REGIONAL DE SALUD DE CHIRIQUI,Autorizado,0,NTwwMTYzNFs2NjM9PVs2MDQxMTUx,Adjudicacion Global,0.0,11-01-2021 11:17 AM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-04-04-EM-005098&esap=1&nnc=0&it=1
40,2020-0-12-04-04-EM-005128,300  PAQUETES X 100 GORROS DE VARON,MINISTERIO DE SALUD/DEPARTAMENTO DE COMPRAS(REG. SALUD DE CHIRIQUI),REGIONAL DE SALUD DE CHIRIQUI,Autorizado,0,NTwwMTYzNFs2NjM9PVs2MDUxMjQ2,Adjudicacion Global,0.0,11-01-2021 11:16 AM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-04-04-EM-005128&esap=1&nnc=0&it=1
41,2020-0-12-04-04-EM-005122,3000 BATAS QUIRURGICAS DESECHABLES  PARA USO GENERAL,MINISTERIO DE SALUD/DEPARTAMENTO DE COMPRAS(REG. SALUD DE CHIRIQUI),REGIONAL DE SALUD DE CHIRIQUI,Autorizado,0,NTwwMTYzNFs2NjM9PVs2MDUwNzIz,Adjudicacion Global,0.0,11-01-2021 11:14 AM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-04-04-EM-005122&esap=1&nnc=0&it=1
42,2020-0-12-04-04-EM-005065,GUANTES DE NITRILO,MINISTERIO DE SALUD/DEPARTAMENTO DE COMPRAS(REG. SALUD DE CHIRIQUI),REGIONAL DE SALUD DE CHIRIQUI,Autorizado,0,NTwwMTYzNFs2NjM9PVs2Nz08PTEx,Adjudicacion Global,0.0,11-01-2021 10:37 AM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-04-04-EM-005065&esap=1&nnc=0&it=1
43,2020-0-12-04-04-EM-005060,GAFAS PROTECTORAS,MINISTERIO DE SALUD/DEPARTAMENTO DE COMPRAS(REG. SALUD DE CHIRIQUI),REGIONAL DE SALUD DE CHIRIQUI,Autorizado,0,NTwwMTYzNFs2NjM9PVs2Nz08NTQ8,Adjudicacion Global,0.0,11-01-2021 10:36 AM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-04-04-EM-005060&esap=1&nnc=0&it=1
44,2020-0-12-04-04-EM-005068,ALCOHOL DESNATURALIZADO 70%,MINISTERIO DE SALUD/DEPARTAMENTO DE COMPRAS(REG. SALUD DE CHIRIQUI),REGIONAL DE SALUD DE CHIRIQUI,Autorizado,0,NTwwMTYzNFs2NjM9PVs2Nz09MjMw,Adjudicacion Global,0.0,11-01-2021 09:45 AM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-04-04-EM-005068&esap=1&nnc=0&it=1
45,2020-0-12-0-08-EM-031663,"PEDIDO 20-4059 SUMINISTRO E INSTALACIÓN DE VENTILADOR MECANICO AVANZADO PARA ADULTO Y PEDIATRICO CON COMPATIBILIDAD PARA RESONANCIA MAGNETICA, FICHA TÉCNICA: 101147.",MINISTERIO DE SALUD/Compras (ministerio de salud),MINISTERIO DE SALUD,Autorizado,0,NTwwMTYzNFs2NjM9MFs2MTQzPDEx,Adjudicacion Global,0.0,11-01-2021 09:26 AM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-0-08-EM-031663&esap=1&nnc=0&it=1
46,2020-0-12-214-12-EM-005729,COMPRA DE COBERTOR PARA TERMÓMETRO Y CONECTOR PARA BOMB.,MINISTERIO DE SALUD/DEPARTAMENTO DE COMPRAS Y PROVEEDURIA,COMARCA DE NGOBE BUGLE,Autorizado,0,NTwwMTYzNFs2Nj09MVs2MDQyNzE0,Adjudicacion Global,0.0,08-01-2021 04:05 PM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-214-12-EM-005729&esap=1&nnc=0&it=1
47,2021-0-12-214-12-EM-006478,"Compra de Bolsas Plástica Negras y Rojas, Hospital de San Félix.",MINISTERIO DE SALUD/DEPARTAMENTO DE COMPRAS Y PROVEEDURIA,COMARCA DE NGOBE BUGLE,Autorizado,0,NTwwMTYzNFs2Nj09MVs2MTU1NTM3,Adjudicacion Global,0.0,08-01-2021 03:55 PM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2021-0-12-214-12-EM-006478&esap=1&nnc=0&it=1
48,2021-0-07-0-08-EM-039725,ADQUISICIÓN DE GEL ALCOHOLADO PARA PREVENIR ENFERMEDADES DEL COVID 19,MINISTERIO DE EDUCACION/DEPARTAMENTO DE COMPRAS SEDE,SEDE,Autorizado,0,NTwwMTYyMls2NTc9NVs2MTU1NTc0,Adjudicacion Global,0.0,08-01-2021 03:54 PM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2021-0-07-0-08-EM-039725&esap=1&nnc=0&it=1
49,2020-0-12-214-12-EM-005712,"LIMPIEZA Y DESINFECCION DE LAS AREAS DEL HOSPITAL REGIONAL ORIENTE CHIRICANO, DR. FRANCISCO PEREZ
INLCUYE INSUMOS Y 12 PERSONAS EN TURNO ROTATIVOS",MINISTERIO DE SALUD/DEPARTAMENTO DE COMPRAS Y PROVEEDURIA,COMARCA DE NGOBE BUGLE,Autorizado,0,NTwwMTYzNFs2Nj09MVs2MDQ2MDYy,Adjudicacion Global,0.0,08-01-2021 03:54 PM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2020-0-12-214-12-EM-005712&esap=1&nnc=0&it=1
50,2021-0-12-214-12-EM-006479,"COMPRA DE CATETER INTRAVENOSA
HOSPITAL DE SAN FELIX COVID-19",MINISTERIO DE SALUD/DEPARTAMENTO DE COMPRAS Y PROVEEDURIA,COMARCA DE NGOBE BUGLE,Autorizado,0,NTwwMTYzNFs2Nj09MVs2MTU1NTM8,Adjudicacion Global,0.0,08-01-2021 03:36 PM,https://www.panamacompra.gob.pa/Inicio/#!/vistaPreviaCP?NumLc=2021-0-12-214-12-EM-006479&esap=1&nnc=0&it=1
